,movement,UTC,lat,lon,alt,accelX,accelY,accelZ,gyroX,gyroY,gyroZ,magX,magY,magZ,roll,pitch,yaw,gndmtr1,gndmtr2,amtr1,amtr2,amtr3,amtr4,uS1,uS2,uS3,uS4,uS5,uS6,payBay
14809,68,0,0,0,0,-0.210344,-0.12488,9.892742,-0.007034477,0.3602772,0.140112,-1.59E-05,3.21E-05,1.31E-06,-0.7232288,1.217969,0,1,1,0,0,0,0,0,0,0,0,0,0,0
14810,68,0,0,0,0,-0.2102369,-0.1140758,9.889265,0.007492941,0.3399259,0.08660657,-1.49E-05,3.26E-05,1.94E-06,-0.6608958,1.217792,0,1,1,0,0,0,0,0,0,0,0,0,0,0
14811,68,0,0,0,0,-0.2226846,-0.1193032,9.887396,-0.0145051,0.3349506,0.07265476,-1.59E-05,4.81E-05,6.88E-07,-0.6913081,1.290107,0,1,1,0,0,0,0,0,0,0,0,0,0,0
14812,68,0,0,0,0,-0.2174382,-0.1199902,9.890966,-0.001735329,-0.6736333,-0.01033837,-1.44E-05,3.21E-05,1.94E-06,-0.6950377,1.259267,0,1,1,0,0,0,0,0,0,0,0,0,0,0
14813,68,0,0,0,0,-0.2236097,-0.1156412,9.879131,-0.003743367,0.3123662,0.08421938,-1.59E-05,4.81E-05,1.69E-06,-0.6706513,1.296554,0,1,1,0,0,0,0,0,0,0,0,0,0,0
14814,68,0,0,0,0,-0.2213939,-0.09785865,9.902341,-0.03946337,0.4094996,0.0840335,-1.59E-05,3.21E-05,4.38E-07,-0.5662,1.280728,0,1,1,0,0,0,0,0,0,0,0,0,0,0
14815,68,0,0,0,0,-0.2087621,-0.1075705,9.898785,0.09927539,0.3593937,0.03877316,5.63E-07,3.26E-05,3.13E-07,-0.622611,1.208099,0,1,1,0,0,0,0,0,0,0,0,0,0,0
14816,68,0,0,0,0,-0.2074313,-0.1141465,9.894604,0.01649439,-0.6992793,-0.1336571,-1.44E-05,3.26E-05,4.38E-07,-0.6609486,1.200898,0,1,1,0,0,0,0,0,0,0,0,0,0,0
14817,68,0,0,0,0,-0.2078211,-0.1069096,9.888142,0.01656167,-0.6853788,-0.086066,-1.54E-05,3.36E-05,9.38E-07,-0.6194522,1.203949,0,1,1,0,0,0,0,0,0,0,0,0,0,0
14818,68,0,0,0,0,-0.2199023,-0.1139871,9.893363,-0.02021424,-0.7095,-0.1354731,-1.59E-05,3.26E-05,1.31E-06,-0.6601086,1.273234,0,1,1,0,0,0,0,0,0,0,0,0,0,0
14819,68,0,0,0,0,-0.2138691,-0.1134451,9.891027,-0.006084168,-0.7596068,-0.0931728,6.25E-08,3.31E-05,8.13E-07,-0.6571246,1.238605,0,1,1,0,0,0,0,0,0,0,0,0,0,0
14820,68,0,0,0,0,-0.2108408,-0.1031611,9.870992,0.003916604,0.344518,0.05307195,-1.44E-05,3.31E-05,6.88E-07,-0.598773,1.223564,0,1,1,0,0,0,0,0,0,0,0,0,0,0
14821,68,0,0,0,0,-0.2027472,-0.1082302,9.897033,-0.04741646,0.3401705,0.07622228,-1.44E-05,4.81E-05,6.88E-07,-0.6265397,1.173507,0,1,1,0,0,0,0,0,0,0,0,0,0,0
